event_id,timestamp,location,longitude,latitude
Rwanda430,2013-9-30 0:00:00,Bugesera,30.1191,-2.0351
Rwanda429,2013-9-30 0:00:00,Bugesera,30.1189,-2.0353
Rwanda428,2013-9-30 0:00:00,Bugesera,30.1187,-2.0355
Rwanda427,2013-9-30 0:00:00,Bugesera,30.1185,-2.0357
Rwanda426,2013-9-30 0:00:00,Bugesera,30.1183,-2.0359
Rwanda425,2013-9-30 0:00:00,Bugesera,30.1181,-2.0361
Rwanda424,2013-9-30 0:00:00,Bugesera,30.1179,-2.0363
Rwanda423,2013-9-30 0:00:00,Bugesera,30.1177,-2.0365
Rwanda422,2013-9-30 0:00:00,Bugesera,30.1175,-2.0367
Rwanda421,2013-9-30 0:00:00,Bugesera,30.1173,-2.0369
Rwanda420,2013-9-30 0:00:00,Bugesera,30.1171,-2.0371
Rwanda419,2013-9-30 0:00:00,Bugesera,30.1169,-2.0373
Rwanda418,2013-9-30 0:00:00,Bugesera,30.1167,-2.0375
Rwanda417,2013-9-30 0:00:00,Bugesera,30.1165,-2.0377
Rwanda416,2013-9-30 0:00:00,Bugesera,30.1163,-2.0379
Rwanda415,2013-9-30 0:00:00,Bugesera,30.1161,-2.0381
Rwanda414,2013-9-30 0:00:00,Bugesera,30.1159,-1.9401
Rwanda413,2013-9-30 0:00:00,Bugesera,30.1157,-1.9403
Rwanda412,2013-9-30 0:00:00,Bugesera,30.1155,-1.9405
Rwanda411,2013-9-30 0:00:00,Bugesera,30.1153,-1.9407
Rwanda410,2013-9-30 0:00:00,Bugesera,30.1151,-1.9409
Rwanda409,2013-9-30 0:00:00,Bugesera,30.1149,-1.9411
Rwanda408,2013-9-30 0:00:00,Bugesera,30.1147,-1.9413
Rwanda356,2013-11-28 0:00:00,Bugesera,30.1145,-2.0383
Rwanda314,2016-7-20 0:00:00,Bugesera,30.1143,-1.9385
Rwanda290,2016-8-29 0:00:00,Bugesera,30.1141,-1.9387
Rwanda278,2016-9-10 0:00:00,Bugesera,30.1139,-1.9389
Rwanda268,2016-9-14 0:00:00,Bugesera,30.1137,-1.9391
Rwanda210,2016-9-25 0:00:00,Bugesera,30.1135,-1.9393
Rwanda205,2016-9-29 0:00:00,Bugesera,30.1133,-1.9395
Rwanda201,2016-9-30 0:00:00,Bugesera,30.1131,-1.9397
Rwanda128,2016-10-9 0:00:00,Bugesera,30.1129,-1.9399
Rwanda76,2016-11-1 0:00:00,Burera,29.8402,-1.4828
Rwanda74,2016-11-1 0:00:00,Burera,29.84,-1.483
Rwanda71,2016-11-1 0:00:00,Burera,29.8398,-1.4832
Rwanda50,2016-11-3 0:00:00,Burera,29.8396,-1.4834
Rwanda438,2013-4-9 0:00:00,Burera,29.8394,-1.4836
Rwanda406,2013-9-30 0:00:00,Burera,29.8392,-1.4838
Rwanda405,2013-9-30 0:00:00,Burera,29.839,-1.484
Rwanda404,2013-9-30 0:00:00,Burera,29.8388,-1.4842
Rwanda403,2013-9-30 0:00:00,Burera,29.8386,-1.4844
Rwanda401,2013-4-10 0:00:00,Burera,29.8384,-1.4846
Rwanda400,2013-4-10 0:00:00,Burera,29.8382,-1.4848
Rwanda38,2016-11-16 0:00:00,Burera,29.838,-1.485
Rwanda363,2013-12-5 0:00:00,Burera,29.8378,-1.4852
Rwanda362,2013-12-4 0:00:00,Burera,29.8376,-1.4854
Rwanda361,2013-12-3 0:00:00,Burera,29.8374,-1.4856
Rwanda286,2016-9-4 0:00:00,Burera,29.8372,-1.4858
Rwanda255,2016-9-16 0:00:00,Burera,29.837,-1.486
Rwanda228,2016-9-20 0:00:00,Burera,29.8368,-1.4862
Rwanda199,2016-9-30 0:00:00,Burera,29.8366,-1.4864
Rwanda170,2014-10-5 0:00:00,Burera,29.8364,-1.4866
Rwanda169,2014-10-3 0:00:00,Burera,29.8362,-1.4868
Rwanda157,2014-10-5 0:00:00,Burera,29.836,-1.487
Rwanda139,2014-10-7 0:00:00,Burera,29.8358,-1.4872
Rwanda135,2014-10-7 0:00:00,Burera,29.8356,-1.4874
Rwanda119,2014-10-18 0:00:00,Burera,29.8354,-1.4876
Rwanda59,2016-11-2 0:00:00,Gakenke,29.8374,-1.6887
Rwanda41,2016-11-13 0:00:00,Gakenke,29.8372,-1.6889
Rwanda246,2016-9-18 0:00:00,Gakenke,29.837,-1.6891
Rwanda240,2016-9-18 0:00:00,Gakenke,29.8368,-1.6893
Rwanda239,2016-9-18 0:00:00,Gakenke,29.8366,-1.6895
Rwanda237,2016-9-18 0:00:00,Gakenke,29.8364,-1.6897
Rwanda215,2016-9-20 0:00:00,Gakenke,29.8362,-1.6899
Rwanda166,2014-10-5 0:00:00,Gakenke,29.836,-1.6901
Rwanda123,2014-10-17 0:00:00,Gakenke,29.8358,-1.6903
Rwanda104,2014-10-26 0:00:00,Gakenke,29.8356,-1.6905
Rwanda103,2014-10-26 0:00:00,Gakenke,29.8354,-1.6907
Rwanda85,2016-11-1 0:00:00,Gasabo,30.1141,-1.8884
Rwanda72,2016-11-1 0:00:00,Gasabo,30.1139,-1.8886
Rwanda444,2013-8-30 0:00:00,Gasabo,30.1137,-1.8888
Rwanda412,2013-9-20 0:00:00,Gasabo,30.1135,-1.889
Rwanda321,2016-7-5 0:00:00,Gasabo,30.1133,-1.8892
Rwanda307,2016-8-11 0:00:00,Gasabo,30.1131,-1.8894
Rwanda192,2014-10-2 0:00:00,Gasabo,30.1129,-1.8896
Rwanda98,2014-10-26 0:00:00,Gatsibo,30.3947,-1.609
Rwanda91,2016-11-1 0:00:00,Gatsibo,30.3945,-1.6092
Rwanda89,2016-11-1 0:00:00,Gatsibo,30.3943,-1.6094
Rwanda88,2016-11-1 0:00:00,Gatsibo,30.3941,-1.6096
Rwanda80,2016-11-2 0:00:00,Gatsibo,30.3939,-1.6098
Rwanda73,2016-11-2 0:00:00,Gatsibo,30.3937,-1.61
Rwanda7,2016-12-14 0:00:00,Gatsibo,30.3935,-1.6102
Rwanda418,2013-9-18 0:00:00,Gatsibo,30.3933,-1.6104
Rwanda399,2013-4-10 0:00:00,Gatsibo,30.3931,-1.6106
Rwanda299,2016-8-16 0:00:00,Gatsibo,30.3929,-1.6108
Rwanda280,2016-9-7 0:00:00,Gatsibo,30.3927,-1.611
Rwanda267,2016-9-15 0:00:00,Gatsibo,30.3925,-1.6112
Rwanda265,2016-9-15 0:00:00,Gatsibo,30.3923,-1.6114
Rwanda232,2016-9-19 0:00:00,Gatsibo,30.3921,-1.6116
Rwanda229,2016-9-20 0:00:00,Gatsibo,30.3919,-1.6118
Rwanda218,2016-9-28 0:00:00,Gatsibo,30.3917,-1.612
Rwanda2,2016-12-17 0:00:00,Gatsibo,30.3915,-1.6122
Rwanda182,2014-10-2 0:00:00,Gatsibo,30.3913,-1.6124
Rwanda181,2014-10-3 0:00:00,Gatsibo,30.3911,-1.6126
Rwanda179,2014-10-2 0:00:00,Gatsibo,30.3909,-1.6128
Rwanda174,2014-10-3 0:00:00,Gatsibo,30.3907,-1.613
Rwanda162,2014-10-5 0:00:00,Gatsibo,30.3905,-1.6132
Rwanda158,2014-10-5 0:00:00,Gatsibo,30.3903,-1.6134
Rwanda153,2014-10-6 0:00:00,Gatsibo,30.3901,-1.6136
Rwanda134,2014-10-8 0:00:00,Gatsibo,30.3899,-1.6138
Rwanda84,2016-11-1 0:00:00,Gicumbi,30.0763,-1.561129
Rwanda83,2016-11-1 0:00:00,Gicumbi,30.0761,-1.561329
Rwanda6,2016-12-14 0:00:00,Gicumbi,30.0759,-1.561529
Rwanda324,2016-11-1 0:00:00,Gicumbi,30.0757,-1.561729
Rwanda320,2016-7-6 0:00:00,Gicumbi,30.0755,-1.561929
Rwanda312,2016-7-25 0:00:00,Gicumbi,30.0753,-1.562129
Rwanda273,2016-9-10 0:00:00,Gicumbi,30.0751,-1.562329
Rwanda25,2016-11-28 0:00:00,Gicumbi,30.0749,-1.562529
Rwanda243,2016-9-18 0:00:00,Gicumbi,30.0747,-1.562729
Rwanda241,2016-9-18 0:00:00,Gicumbi,30.0745,-1.562929
Rwanda24,2016-11-28 0:00:00,Gicumbi,30.0743,-1.563129
Rwanda235,2016-9-19 0:00:00,Gicumbi,30.0741,-1.563329
Rwanda234,2016-9-19 0:00:00,Gicumbi,30.0739,-1.563529
Rwanda231,2016-9-19 0:00:00,Gicumbi,30.0737,-1.563729
Rwanda227,2016-9-20 0:00:00,Gicumbi,30.0735,-1.563929
Rwanda226,2016-9-20 0:00:00,Gicumbi,30.0733,-1.564129
Rwanda224,2016-9-27 0:00:00,Gicumbi,30.0731,-1.564329
Rwanda194,2014-10-1 0:00:00,Gicumbi,30.0729,-1.564529
Rwanda191,2014-10-1 0:00:00,Gicumbi,30.0727,-1.564729
Rwanda178,2014-10-3 0:00:00,Gicumbi,30.0725,-1.564929
Rwanda129,2016-10-9 0:00:00,Gicumbi,30.0723,-1.565129
Rwanda116,2014-10-27 0:00:00,Gicumbi,30.0721,-1.565329
Rwanda109,2014-10-31 0:00:00,Gicumbi,30.0719,-1.565529
Rwanda1,2016-12-17 0:00:00,Gicumbi,30.0717,-1.565729
Rwanda424,2013-12-9 0:00:00,Gisagara,29.837,-2.0612
Rwanda423,2013-12-9 0:00:00,Gisagara,29.8368,-2.0614
Rwanda322,2016-7-2 0:00:00,Gisagara,29.8366,-2.0616
Rwanda310,2016-7-28 0:00:00,Gisagara,29.8364,-2.0126
Rwanda277,2016-9-10 0:00:00,Gisagara,29.8362,-2.0127
Rwanda175,2014-10-3 0:00:00,Gisagara,29.836,-2.0128
